Function Name, Cumulative Stack Size, Branch Type
"CUsProximityLib::Process(CAPI_BufList_t const*, CAPI_BufList_t*, CAPI_Buf_t*)",39640,Recursive
"QcUsProximityLibEngine",39616,Recursive
"CopyCorrelationToBuffer",39592,Recursive
"vptx_data_handler(void*)",38736,Recursive
"vptx_process(vptx_t*)",38672,Recursive
"voice_ecns_process",38520,Recursive
"CUsGestureLib::Process(CAPI_BufList_t const*, CAPI_BufList_t*, CAPI_Buf_t*)",37576,Recursive
"QcUsGestureLibEngine",37552,Recursive
"SyncCheck",37536,Recursive
"GestureStateMachine",35608,Recursive
"Gesture_CopyCorrelationToBuffer",35504,Recursive
"QURTK_check_icache_err",31160,Recursive
"QURTK_main_fatal_error",31160,Recursive
"QURTK_print_error_msg",31160,Closed
"QuartetProcess",30760,Closed
"ProximityDetector",28760,Closed
"CdolbyHeAAc::Process(CAPI_BufList_t const*, CAPI_BufList_t*, CAPI_Buf_t*)",28232,Recursive
"XttC6XCXUUCTVJCTUntqC",28176,Recursive
"6XttCUCXTzhhtvFPA",27968,Undetermined
"HeAAcSBRRtWorkLoop(void*)",27928,Undetermined
"CCt6XUtXCaoTTUnX",27880,Undetermined
"UXttC6HXTCv4F6qa2C1JaR4PH2n2CG",27504,Undetermined
"IjTzj_HqTJv4a6Ta2COjaUtPoVTtvX",26392,Undetermined
"BBCorrelation",25224,Recursive
"Gesture_BBCorrelation",25224,Recursive
"venc_data_handler(void*)",23304,Recursive
"venc_process(venc_t*)",23264,Recursive
"vdec_pp_start_tick_handler(void*)",22360,Recursive
"voice_eans_process(eans_struct_t*, short*, short*, unsigned short, short)",22208,Recursive
"Gesture_JammerDetector",17936,Recursive
"JammerDetector",17936,Recursive
"oPUSUXTSSHTTXtaCUPUtPoVTtvX",17448,Closed
"voice_slow_talk_process(slow_talk_struct_t*, short*, short*, short)",17112,Recursive
"42VCn7CwaU4Pt82VHOTJhVC9PUtPoVTtvX",17040,Undetermined
"PUSTUoHSXTC4a8tPXU",16512,Closed
"TKnTzj_KqHq3pTe",16472,Closed
"_qzTjKTnqTT3HKepa",16472,Closed
"81nnHtHmCVmCaXTFag",16400,Closed
"VCAPI_AmrNBProcess(ICAPIVtbl*, CAPI_BufList_t const*, CAPI_BufList_t*, CAPI_Buf_t*)",15584,Recursive
"eamr_encoder",15440,Recursive
"aatD6HCTH",15304,Recursive
"easyhearing_enabled(void*, short*, short*, void*, short)",15152,Recursive
"eamr_Speech_Encode_Frame",14768,Recursive
"eamr_encoder_main",14768,Recursive
"hqJ2aTn2hC",14664,Recursive
"ERzcThR",14584,Closed
"RzcThR",14584,Closed
"VtJCTXnU",14288,Recursive
"nhThqPJC2J2TP2nTCton4",14080,Closed
"vdec_vfr_decode_handler(void*)",14040,Recursive
"R_TFhEcJ3",13968,Closed
"VCAPI_FourGVProcess(ICAPIVtbl*, CAPI_BufList_t const*, CAPI_BufList_t*, CAPI_Buf_t*)",13944,Recursive
"FourGVDecode::decoder(short*, short*, short, TTYDecStruct*, FourGVTW*)",13784,Recursive
"fgvDecoder::decode_wrapper_fx(short&, short*, TTYDecStruct*, FourGVTW*, short)",13752,Recursive
"ThR4hya6VhCPsmTTOFCX4FtCCh6VCH_XHCn",13632,Closed
"XFBThR6nCV2HuO",13616,Closed
"FmEcOTF_g",13568,Closed
"thTRXEFU",13544,Closed
"aThRCyhhV46TamFs62TH",13536,Closed
"HtHF42waV2BCQaH",13512,Closed
"TqDKkHTa8TXH4V42DTmX3TFFaHammeaDT29hC4atVHFH48Xna",13184,Undetermined
"TqDKkHTa8TXH4V42KTmXpTFFaHammeaDT29hC4atVHFH48Xna",13184,Undetermined
"VCAPI_FourGVProcess(ICAPIVtbl*, CAPI_BufList_t const*, CAPI_BufList_t*, CAPI_Buf_t*)",13120,Recursive
"FourGVEncode::encoder(short*, short*, short, short, TTYEncStruct*)",12912,Recursive
"fgvEncoder::encode_wrapper_fx(short*, DTMF_fx&, short, int, char&, short, TTYEncStruct*)",12872,Recursive
"fgvEncoder::encode_fx(short&, short*)",12776,Recursive
"hqVC9THJhU",12400,Closed
"fgvEncoder::transient_encoder_fx(short*)",12384,Recursive
"qVT2h7J4U",11824,Closed
