Function Name, Cumulative Stack Size, Branch Type
"Diag_LSM_Test_Init",4584,Recursive
"Diag_LSM_Init",4576,Recursive
"Diag_LSM_RxThread",4528,Recursive
"mpu6515_read_dmp_firmware",4392,Recursive
"sns_sam_init",2592,Recursive
"sns_sam_task",2560,Recursive
"rfs_init",2536,Recursive
"rfs_rfsa_init",2528,Recursive
"rfs_rfsa_put",2480,Recursive
"rfs_rfsa_write",2456,Recursive
"rfsa_write",2448,Recursive
"rfsa_write_helper",2416,Recursive
"sns_smgr_init",2384,Recursive
"sns_smgr_task",2360,Recursive
"sns_rh_task_init",2336,Recursive
"sns_rh_task",2312,Recursive
"sns_sam_get_sensor_info",2312,Recursive
"sns_rh_task_loop",2280,Recursive
"sns_sam_get_registry_version",2280,Recursive
"sns_sam_get_registry_read_resp",2256,Recursive
"sns_dd_bmg160_set_attr",2216,Recursive
"sns_sam_mr_msg_rcv",2208,Recursive
"sns_dd_bmg160_interrupt_handler",2200,Recursive
"sns_dd_bmg160_triger_fifo_data",2192,Recursive
"sns_dd_bmg160_flush_fifo_data",2184,Recursive
"bmg160_fifo_data_read_out_frames",2152,Recursive
"sns_sam_process_client_req",2128,Recursive
"sns_rh_process_big_image_signals",2072,Recursive
"sns_smgr_task_main",2064,Recursive
"sns_smgr_handle_bigimage_signals",2032,Recursive
"sns_smgr_process_msg",2008,Recursive
"sns_dd_alsprx_ltr55x_init",2000,Recursive
"sns_sam_mr_handle_event",2000,Recursive
"sns_smgr_process_reg_resp_msg",1984,Recursive
"sns_rh_mr_handle_disconnect_sig",1976,Recursive
"sns_smgr_process_reg_data.isra.4",1968,Recursive
"sns_rh_cancel_service",1960,Recursive
"sns_sam_enable_sync_dependent_algos",1960,Recursive
"sns_sam_process_algo_disable_req",1952,Recursive
"sns_scm_init",1936,Recursive
"sns_smgr_process_reg_devinfo.isra.3",1912,Recursive
"rfs_rfsa_get",1904,Recursive
"sns_dd_alsprx_ltr55x_set_attrib",1904,Recursive
"sns_scm_task",1904,Recursive
"sns_dd_alsprx_ltr55x_reset",1896,Recursive
"sns_sam_disable_sync_dependent_algos",1888,Recursive
"rfs_rfsa_read",1880,Recursive
"rfs_rfsa_seek",1880,Recursive
"sns_dd_acc_bma2x2_init",1880,Recursive
"sns_dd_acc_bma2x2_self_test",1880,Recursive
"sns_dd_mpu6xxx_run_test",1880,Recursive
"sns_sam_disable_algo",1880,Recursive
"rfs_rfsa_open",1872,Recursive
"rfsa_read",1872,Recursive
"sns_dd_mpu6xxx_init",1872,Recursive
"sns_rh_process_internal_smgr_request",1872,Recursive
"sns_sam_req_sensor_data",1872,Recursive
"rfs_rfsa_stat",1864,Recursive
"rfsa_seek",1864,Recursive
"mpu6515_init",1856,Recursive
"rfsa_flen",1856,Recursive
"rfsa_open",1856,Recursive
"sns_rh_sol_process_periodic_request",1856,Recursive
"sns_rh_sol_process_buffering_request",1848,Recursive
"rfsa_plen",1840,Recursive
"rfsa_read_helper",1840,Recursive
