ARAGORN.CRYPTO0_CRYPTO_TOP.BAM Crypto0
ARAGORN.CRYPTO1_CRYPTO_TOP.BAM Crypto1
ARAGORN.LPASS.LPASS_SBMASTER0_BASE.SLIMBUS_BAM_LITE.BAM LPASS_Slimbus
ARAGORN.MSS_TOP.MSS_BAM_NDP_TOP_A2.BAM A2
ARAGORN.MSS_TOP.MSS_ARAGORN_MSS_CRYPTO_WRAPPER.BAM MSS_Crypto
ARAGORN.PERIPH_SS.PERIPH_SS_SDC1_SDCC4_TOP.SDCC4_BAM.BAM SDC1
ARAGORN.PERIPH_SS.PERIPH_SS_SDC3_SDCC4_TOP.SDCC4_BAM.BAM SDC2
ARAGORN.PERIPH_SS.PERIPH_SS_SDC2_SDCC4_TOP.SDCC4_BAM.BAM SDC3
ARAGORN.PERIPH_SS.PERIPH_SS_SDC4_SDCC4_TOP.SDCC4_BAM.BAM SDC4
ARAGORN.PERIPH_SS.PERIPH_SS_BLSP1_BLSP.BAM.BAM BLSP1
ARAGORN.PERIPH_SS.PERIPH_SS_BLSP2_BLSP.BAM.BAM BLSP2
ARAGORN.PERIPH_SS.PERIPH_SS_BAM_DMA_BAM_DMA_TOP_BAM_DMA_WRAPPER.DMA BAMDMA
ARAGORN.PERIPH_SS.PERIPH_SS_BAM_DMA_BAM_DMA_TOP_BAM_DMA_WRAPPER.BAM.BAM BAMDMA_BAM
ARAGORN.PERIPH_SS.PERIPH_SS_TSIF_TSIF_12SEG_WRAPPER.TSIF_BAM_LITE_TOP_TSIF.BAM TSIF
ARAGORN.PERIPH_SS.PERIPH_SS_USB1_HS_USB_OTG_HS_TOP.USB_OTG_HS_BAM.BAM USB1_HS
ARAGORN.QDSS_QDSS.NDPBAM_BAM_NDP_TOP_QDSS.BAM QDSS
ARAGORN.USB30_WRAPPER.BAM.BAM USB30
